,Dataset,# People,Modelos,NMI,cluster alg,multiview,vgg,resnet,senet
79,celeba,50,S vgg16 kmeans,0.8159826385368474,kmeans,S,True,True,True
80,celeba,50,S vgg16 kmeans,0.7924800802556389,kmeans,S,True,True,True
81,celeba,50,S vgg16 kmeans,0.79570310162531,kmeans,S,True,True,True
82,celeba,50,S vgg16 kmeans,0.8332332210211034,kmeans,S,True,True,True
83,celeba,50,S vgg16 kmeans,0.8184326511577444,kmeans,S,True,True,True
84,celeba,50,S vgg16 kmeans,0.8030957218037335,kmeans,S,True,True,True
85,celeba,50,S vgg16 kmeans,0.8452640731910622,kmeans,S,True,True,True
86,celeba,50,S vgg16 kmeans,0.8084159340342336,kmeans,S,True,True,True
87,celeba,50,S vgg16 kmeans,0.8614627159868492,kmeans,S,True,True,True
88,celeba,50,S vgg16 kmeans,0.7969814187999555,kmeans,S,True,True,True
89,celeba,50,S vgg16 kmeans,0.794119448356797,kmeans,S,True,True,True
90,celeba,50,S vgg16 kmeans,0.8062569331004613,kmeans,S,True,True,True
91,celeba,50,S vgg16 kmeans,0.8493953342102026,kmeans,S,True,True,True
92,celeba,50,S vgg16 kmeans,0.8016619269694348,kmeans,S,True,True,True
93,celeba,50,S vgg16 kmeans,0.7914144130562125,kmeans,S,True,True,True
94,celeba,50,S vgg16 kmeans,0.8214638009382857,kmeans,S,True,True,True
95,celeba,50,S vgg16 kmeans,0.8338459935933425,kmeans,S,True,True,True
96,celeba,50,S vgg16 kmeans,0.8405811410573512,kmeans,S,True,True,True
97,celeba,50,S vgg16 kmeans,0.8082698814847648,kmeans,S,True,True,True
98,celeba,50,S vgg16 kmeans,0.8197718117166801,kmeans,S,True,True,True
99,celeba,50,S vgg16 kmeans,0.8429909403832682,kmeans,S,True,True,True
100,celeba,50,S vgg16 kmeans,0.7753722059852035,kmeans,S,True,True,True
101,celeba,50,S vgg16 kmeans,0.8364162572382159,kmeans,S,True,True,True
102,celeba,50,S vgg16 kmeans,0.8578801772933102,kmeans,S,True,True,True
103,celeba,50,S vgg16 kmeans,0.8358243528359237,kmeans,S,True,True,True
104,celeba,50,S vgg16 kmeans,0.8119727419489208,kmeans,S,True,True,True
105,celeba,50,S vgg16 kmeans,0.8221853327481159,kmeans,S,True,True,True
106,celeba,50,S vgg16 kmeans,0.8123989496595566,kmeans,S,True,True,True
107,celeba,50,S vgg16 kmeans,0.753936754803989,kmeans,S,True,True,True
108,celeba,50,S vgg16 kmeans,0.814465454579035,kmeans,S,True,True,True
109,celeba,50,S vgg16 kmeans,0.8138382363225871,kmeans,S,True,True,True
110,celeba,50,S vgg16 kmeans,0.8325532864580181,kmeans,S,True,True,True
111,celeba,50,S vgg16 kmeans,0.806453299014741,kmeans,S,True,True,True
112,celeba,50,S vgg16 kmeans,0.7969021124874388,kmeans,S,True,True,True
113,celeba,50,S vgg16 kmeans,0.8476693775039033,kmeans,S,True,True,True
114,celeba,50,S vgg16 kmeans,0.7917133418438915,kmeans,S,True,True,True
115,celeba,50,S vgg16 kmeans,0.816571375368798,kmeans,S,True,True,True
116,celeba,50,S vgg16 kmeans,0.808703831506469,kmeans,S,True,True,True
117,celeba,50,S vgg16 kmeans,0.7755834568359081,kmeans,S,True,True,True
118,celeba,50,S vgg16 kmeans,0.8261543535923762,kmeans,S,True,True,True
119,celeba,50,S vgg16 kmeans,0.7800552535156807,kmeans,S,True,True,True
120,celeba,50,S vgg16 kmeans,0.8654515104178464,kmeans,S,True,True,True
121,celeba,50,S vgg16 kmeans,0.8427575190582253,kmeans,S,True,True,True
122,celeba,50,S vgg16 kmeans,0.8383224317920805,kmeans,S,True,True,True
123,celeba,50,S vgg16 kmeans,0.7502256838770655,kmeans,S,True,True,True
124,celeba,50,S vgg16 kmeans,0.789407297169883,kmeans,S,True,True,True
125,celeba,50,S vgg16 kmeans,0.7956975490486548,kmeans,S,True,True,True
126,celeba,50,S vgg16 kmeans,0.809558423258555,kmeans,S,True,True,True
127,celeba,50,S vgg16 kmeans,0.8154299970409682,kmeans,S,True,True,True
128,celeba,50,S vgg16 kmeans,0.7989799476813296,kmeans,S,True,True,True
129,celeba,50,S vgg16 kmeans,0.8086102923384012,kmeans,S,True,True,True
130,celeba,50,S vgg16 kmeans,0.8290013358946756,kmeans,S,True,True,True
131,celeba,50,S vgg16 kmeans,0.792415057562169,kmeans,S,True,True,True
132,celeba,50,S vgg16 kmeans,0.7643738982515369,kmeans,S,True,True,True
133,celeba,50,S vgg16 kmeans,0.8264718607610532,kmeans,S,True,True,True
134,celeba,50,S vgg16 kmeans,0.8363831159012121,kmeans,S,True,True,True
135,celeba,50,S vgg16 kmeans,0.8117638226080466,kmeans,S,True,True,True
136,celeba,50,S vgg16 kmeans,0.8272393870243033,kmeans,S,True,True,True
137,celeba,50,S vgg16 kmeans,0.8408618726363146,kmeans,S,True,True,True
138,celeba,50,S vgg16 kmeans,0.8111221908439764,kmeans,S,True,True,True
139,celeba,50,S vgg16 kmeans,0.84393998526981,kmeans,S,True,True,True
140,celeba,50,S vgg16 kmeans,0.8366132452154601,kmeans,S,True,True,True
141,celeba,50,S vgg16 kmeans,0.7850088299343603,kmeans,S,True,True,True
142,celeba,50,S vgg16 kmeans,0.809909667507424,kmeans,S,True,True,True
143,celeba,50,S vgg16 kmeans,0.7637191607523466,kmeans,S,True,True,True
144,celeba,50,S vgg16 kmeans,0.8282045110781744,kmeans,S,True,True,True
145,celeba,50,S vgg16 kmeans,0.7831932255902553,kmeans,S,True,True,True
146,celeba,50,S vgg16 kmeans,0.8390892221781632,kmeans,S,True,True,True
